figure_id,panel_id,series_id,scientific_classification,semantic_role,source_or_formula,grid_or_domain,uncertainty_owner,visual_primitive,disposition,validity_gate,evidence_anchor,evidence_quality,verdict
fig:neutrino_seesaw,fig_neutrino_seesaw_smooth_r154,$y_\nu=10^{-4}$,exact_analytic_dense,analytic/dense/sparse model series as declared by R154 nonrotation QA,LaTex/work/preprint/R149_READER_LAYOUT_CANDIDATE_v1/remaining_figure_typography/scripts/build_r149_remaining_typography.py,500 source points; 500 rendered line points; 0 rendered markers,none; this is deterministic model/benchmark output,continuous line,USE_R154_CONTINUOUS_SUCCESSOR; DECORATIVE SAMPLE MARKERS REMOVED,Level C/Open supplied benchmark; not an ECT prediction,LaTex/work/preprint/R154_SMOOTH_CURVE_SEMANTICS_CANDIDATE_v1/nonrotation/R154_NONROTATION_SERIES_QA_v1.json:fig:neutrino_seesaw:$y_\nu=10^{-4}$,DIRECT_R154_NUMERIC_QA,PASS_SUPPORTED_NO_UNKNOWN
fig:neutrino_seesaw,fig_neutrino_seesaw_smooth_r154,$y_\nu\approx4.5\times10^{-3}$,exact_analytic_dense,analytic/dense/sparse model series as declared by R154 nonrotation QA,LaTex/work/preprint/R149_READER_LAYOUT_CANDIDATE_v1/remaining_figure_typography/scripts/build_r149_remaining_typography.py,500 source points; 500 rendered line points; 0 rendered markers,none; this is deterministic model/benchmark output,continuous line,USE_R154_CONTINUOUS_SUCCESSOR; DECORATIVE SAMPLE MARKERS REMOVED,Level C/Open supplied benchmark; not an ECT prediction,LaTex/work/preprint/R154_SMOOTH_CURVE_SEMANTICS_CANDIDATE_v1/nonrotation/R154_NONROTATION_SERIES_QA_v1.json:fig:neutrino_seesaw:$y_\nu\approx4.5\times10^{-3}$,DIRECT_R154_NUMERIC_QA,PASS_SUPPORTED_NO_UNKNOWN
fig:neutrino_corrections,fig_neutrino_corrections_smooth_r154,imported $\Delta m^2_{\rm atm}/(2E)$,exact_analytic_dense,analytic/dense/sparse model series as declared by R154 nonrotation QA,LaTex/work/preprint/R149_READER_LAYOUT_CANDIDATE_v1/remaining_figure_typography/scripts/build_r149_remaining_typography.py,500 source points; 500 rendered line points; 0 rendered markers,none; this is deterministic model/benchmark output,continuous line,USE_R154_CONTINUOUS_SUCCESSOR; DECORATIVE SAMPLE MARKERS REMOVED,Open vertex/coefficient; benchmark only,LaTex/work/preprint/R154_SMOOTH_CURVE_SEMANTICS_CANDIDATE_v1/nonrotation/R154_NONROTATION_SERIES_QA_v1.json:fig:neutrino_corrections:imported $\Delta m^2_{\rm atm}/(2E)$,DIRECT_R154_NUMERIC_QA,PASS_SUPPORTED_NO_UNKNOWN
fig:neutrino_corrections,fig_neutrino_corrections_smooth_r154,optional $\beta_\nu^{\rm bench}E$,exact_analytic_dense,analytic/dense/sparse model series as declared by R154 nonrotation QA,LaTex/work/preprint/R149_READER_LAYOUT_CANDIDATE_v1/remaining_figure_typography/scripts/build_r149_remaining_typography.py,500 source points; 500 rendered line points; 0 rendered markers,none; this is deterministic model/benchmark output,continuous line,USE_R154_CONTINUOUS_SUCCESSOR; DECORATIVE SAMPLE MARKERS REMOVED,Open vertex/coefficient; benchmark only,LaTex/work/preprint/R154_SMOOTH_CURVE_SEMANTICS_CANDIDATE_v1/nonrotation/R154_NONROTATION_SERIES_QA_v1.json:fig:neutrino_corrections:optional $\beta_\nu^{\rm bench}E$,DIRECT_R154_NUMERIC_QA,PASS_SUPPORTED_NO_UNKNOWN
fig:partI_derivation_logic,all,canonical_dependency_graph,diagram/no scientific polyline,derivation/status graph,47 canonical IDs and 63 directed semantic edges,declared figure domain; no extrapolation beyond the named owner,none unless stated in caption/owner,curved arrows and labelled nodes,RETAIN; GRAPH EDGES ARE NOT DATA CURVES,Node text controls status.,LaTex/FIGURE_REGISTRY.csv:fig:partI_derivation_logic | LaTex/ECT_preprint.tex:14642 | LaTex/work/preprint/R150_LOGIC_MAP_EDGE_READABILITY_CANDIDATE_v1/final_review_candidate_v1/preprint/publication/figures/source/graphviz/r150_curved_compact_v1/build_curved_compact_reader_maps_r150.py;LaTex/work/preprint/R150_LOGIC_MAP_EDGE_READABILITY_CANDIDATE_v1/final_review_candidate_v1/preprint/publication/figures/source/graphviz/r150_curved_compact_v1/frozen_r149_reader_helpers.py | LaTex/work/preprint/R150_LOGIC_MAP_EDGE_READABILITY_CANDIDATE_v1/final_review_candidate_v1/preprint/publication/figures/source/graphviz/r148_complete_logic_v1/fig09_partI_semantic_authority_r143.gv;LaTex/work/preprint/R150_LOGIC_MAP_EDGE_READABILITY_CANDIDATE_v1/final_review_candidate_v1/preprint/publication/data/figures_r148/topology/fig09_partI_topology_r148.json;LaTex/work/preprint/R150_LOGIC_MAP_EDGE_READABILITY_CANDIDATE_v1/final_review_candidate_v1/preprint/publication/figures/source/graphviz/r150_curved_compact_v1/semantic_keys/partI/partI_node_key.csv;LaTex/work/preprint/R150_LOGIC_MAP_EDGE_READABILITY_CANDIDATE_v1/final_review_candidate_v1/preprint/publication/figures/source/graphviz/r150_curved_compact_v1/semantic_keys/partI/partI_edge_key.csv;LaTex/work/preprint/R150_LOGIC_MAP_EDGE_READABILITY_CANDIDATE_v1/final_review_candidate_v1/preprint/publication/figures/source/graphviz/r150_curved_compact_v1/semantic_keys/partI/partI_full_key.json;LaTex/work/preprint/R150_LOGIC_MAP_EDGE_READABILITY_CANDIDATE_v1/final_review_candidate_v1/preprint/publication/figures/source/graphviz/r150_curved_compact_v1/semantic_keys/partI/partI_full_key_r149.pdf;LaTex/work/preprint/R150_LOGIC_MAP_EDGE_READABILITY_CANDIDATE_v1/final_review_candidate_v1/preprint/publication/figures/source/graphviz/r150_curved_compact_v1/maps_curved_compact/partI/partI_automated_qa.json;LaTex/work/preprint/R150_LOGIC_MAP_EDGE_READABILITY_CANDIDATE_v1/final_review_candidate_v1/preprint/publication/figures/source/graphviz/r150_curved_compact_v1/maps_curved_compact/manifest.json;LaTex/work/preprint/R150_LOGIC_MAP_EDGE_READABILITY_CANDIDATE_v1/final_review_candidate_v1/preprint/publication/figures/source/graphviz/r150_curved_compact_v1/maps_curved_compact/REPLAY_CHECK.json;LaTex/work/preprint/R150_LOGIC_MAP_EDGE_READABILITY_CANDIDATE_v1/final_review_candidate_v1/preprint/publication/figures/source/graphviz/r150_curved_compact_v1/maps_curved_compact/RUNTIME.json;LaTex/work/preprint/R150_LOGIC_MAP_EDGE_READABILITY_CANDIDATE_v1/final_review_candidate_v1/preprint/publication/figures/source/graphviz/r150_curved_compact_v1/R150_RELEASE_ALLOWLIST.json;LaTex/work/preprint/R150_LOGIC_MAP_EDGE_READABILITY_CANDIDATE_v1/final_review_candidate_v1/preprint/publication/figures/source/graphviz/r150_curved_compact_v1/semantic_keys/SHA256SUMS,REGISTRY_OWNER_CAPTION_AND_R153_SOURCE_AUDIT,PASS_SUPPORTED_NO_UNKNOWN
fig:r123_internal_external_history_map,all,history_map_geometry,diagram/no scientific polyline,shape-agnostic conceptual map,declared internal/external status topology,declared figure domain; no extrapolation beyond the named owner,none unless stated in caption/owner,schematic regions/arrows,RETAIN; NOT A QUANTITATIVE HISTORY CURVE,Formation/front and metric map remain Open.,LaTex/FIGURE_REGISTRY.csv:fig:r123_internal_external_history_map | LaTex/ECT_preprint.tex:20127 | LaTex/work/preprint/R149_READER_LAYOUT_CANDIDATE_v1/figure_typography_successors/scripts/build_r149_accessibility_previews.py;LaTex/work/preprint/R149_READER_LAYOUT_CANDIDATE_v1/figure_typography_successors/scripts/build_r149_evolution_typography_successors.py;LaTex/work/preprint/R149_READER_LAYOUT_CANDIDATE_v1/figure_typography_successors/scripts/build_r149_sparc_typography_successors.py;LaTex/work/preprint/R149_READER_LAYOUT_CANDIDATE_v1/figure_typography_successors/scripts/verify_r149_typography_successors.py;LaTex/work/preprint/R149_READER_LAYOUT_CANDIDATE_v1/figure_typography_successors/scripts/write_r149_repair_package_manifest.py | LaTex/figures/r123/r123_external_internal_history_map.pdf,REGISTRY_OWNER_CAPTION_AND_R153_SOURCE_AUDIT,PASS_SUPPORTED_NO_UNKNOWN
fig:r123_condensate_orbit,conditional_post_ordering_dense_r154,$10^3 q$,exact_analytic_dense,analytic/dense/sparse model series as declared by R154 nonrotation QA,LaTex/work/preprint/R149_READER_LAYOUT_CANDIDATE_v1/figure_typography_successors/scripts/build_r149_evolution_typography_successors.py,1001 source points; 1001 rendered line points; 0 rendered markers,none; this is deterministic model/benchmark output,continuous line,USE_R154_CONTINUOUS_SUCCESSOR; DECORATIVE SAMPLE MARKERS REMOVED,Level A background inside supplied action/state; dimensional readings Level C,LaTex/work/preprint/R154_SMOOTH_CURVE_SEMANTICS_CANDIDATE_v1/nonrotation/R154_NONROTATION_SERIES_QA_v1.json:fig:r123_condensate_orbit:$10^3 q$,DIRECT_R154_NUMERIC_QA,PASS_SUPPORTED_NO_UNKNOWN
fig:r123_condensate_orbit,conditional_post_ordering_dense_r154,"$10^3\,dq/dN$",exact_analytic_dense,analytic/dense/sparse model series as declared by R154 nonrotation QA,LaTex/work/preprint/R149_READER_LAYOUT_CANDIDATE_v1/figure_typography_successors/scripts/build_r149_evolution_typography_successors.py,1001 source points; 1001 rendered line points; 0 rendered markers,none; this is deterministic model/benchmark output,continuous line,USE_R154_CONTINUOUS_SUCCESSOR; DECORATIVE SAMPLE MARKERS REMOVED,Level A background inside supplied action/state; dimensional readings Level C,"LaTex/work/preprint/R154_SMOOTH_CURVE_SEMANTICS_CANDIDATE_v1/nonrotation/R154_NONROTATION_SERIES_QA_v1.json:fig:r123_condensate_orbit:$10^3\,dq/dN$",DIRECT_R154_NUMERIC_QA,PASS_SUPPORTED_NO_UNKNOWN
fig:r123_condensate_orbit,conditional_post_ordering_dense_r154,$10^6(F/F_0-1)$,exact_analytic_dense,analytic/dense/sparse model series as declared by R154 nonrotation QA,LaTex/work/preprint/R149_READER_LAYOUT_CANDIDATE_v1/figure_typography_successors/scripts/build_r149_evolution_typography_successors.py,1001 source points; 1001 rendered line points; 0 rendered markers,none; this is deterministic model/benchmark output,continuous line,USE_R154_CONTINUOUS_SUCCESSOR; DECORATIVE SAMPLE MARKERS REMOVED,Level A background inside supplied action/state; dimensional readings Level C,LaTex/work/preprint/R154_SMOOTH_CURVE_SEMANTICS_CANDIDATE_v1/nonrotation/R154_NONROTATION_SERIES_QA_v1.json:fig:r123_condensate_orbit:$10^6(F/F_0-1)$,DIRECT_R154_NUMERIC_QA,PASS_SUPPORTED_NO_UNKNOWN
fig:r123_condensate_orbit,conditional_post_ordering_dense_r154,$10^6(F_0/F-1)$,exact_analytic_dense,analytic/dense/sparse model series as declared by R154 nonrotation QA,LaTex/work/preprint/R149_READER_LAYOUT_CANDIDATE_v1/figure_typography_successors/scripts/build_r149_evolution_typography_successors.py,1001 source points; 1001 rendered line points; 0 rendered markers,none; this is deterministic model/benchmark output,continuous line,USE_R154_CONTINUOUS_SUCCESSOR; DECORATIVE SAMPLE MARKERS REMOVED,Level A background inside supplied action/state; dimensional readings Level C,LaTex/work/preprint/R154_SMOOTH_CURVE_SEMANTICS_CANDIDATE_v1/nonrotation/R154_NONROTATION_SERIES_QA_v1.json:fig:r123_condensate_orbit:$10^6(F_0/F-1)$,DIRECT_R154_NUMERIC_QA,PASS_SUPPORTED_NO_UNKNOWN
fig:r123_condensate_orbit,conditional_post_ordering_dense_r154,expansion residual,dense_solver_owner,analytic/dense/sparse model series as declared by R154 nonrotation QA,LaTex/data/cosmology_r103/R103_TWO_SLOPE_BACKGROUND_DENSE_v1.csv,3001 source points; 161 rendered line points; 9 rendered markers,none; this is deterministic model/benchmark output,continuous line,USE_R154_DENSE_SOLVER_TRACE; RETAIN PUBLISHED NODES AS SEPARATE MARKERS,Level A background inside supplied action/state; Level C physical map,LaTex/work/preprint/R154_SMOOTH_CURVE_SEMANTICS_CANDIDATE_v1/nonrotation/R154_NONROTATION_SERIES_QA_v1.json:fig:r123_condensate_orbit:expansion residual,DIRECT_R154_NUMERIC_QA,PASS_SUPPORTED_NO_UNKNOWN
fig:r123_condensate_orbit,conditional_post_ordering_dense_r154,matched-control clock,dense_solver_owner,analytic/dense/sparse model series as declared by R154 nonrotation QA,LaTex/data/cosmology_r103/R103_TWO_SLOPE_BACKGROUND_DENSE_v1.csv,3001 source points; 161 rendered line points; 9 rendered markers,none; this is deterministic model/benchmark output,continuous line,USE_R154_DENSE_SOLVER_TRACE; RETAIN PUBLISHED NODES AS SEPARATE MARKERS,Level A background inside supplied action/state; Level C physical map,LaTex/work/preprint/R154_SMOOTH_CURVE_SEMANTICS_CANDIDATE_v1/nonrotation/R154_NONROTATION_SERIES_QA_v1.json:fig:r123_condensate_orbit:matched-control clock,DIRECT_R154_NUMERIC_QA,PASS_SUPPORTED_NO_UNKNOWN
fig:r123_condensate_orbit,conditional_post_ordering_dense_r154,matched-control expansion,dense_solver_owner,analytic/dense/sparse model series as declared by R154 nonrotation QA,LaTex/data/cosmology_r103/R103_TWO_SLOPE_BACKGROUND_DENSE_v1.csv,3001 source points; 161 rendered line points; 9 rendered markers,none; this is deterministic model/benchmark output,continuous line,USE_R154_DENSE_SOLVER_TRACE; RETAIN PUBLISHED NODES AS SEPARATE MARKERS,Level A background inside supplied action/state; Level C physical map,LaTex/work/preprint/R154_SMOOTH_CURVE_SEMANTICS_CANDIDATE_v1/nonrotation/R154_NONROTATION_SERIES_QA_v1.json:fig:r123_condensate_orbit:matched-control expansion,DIRECT_R154_NUMERIC_QA,PASS_SUPPORTED_NO_UNKNOWN
fig:r123_condensate_orbit,conditional_post_ordering_dense_r154,two-slope branch clock,dense_solver_owner,analytic/dense/sparse model series as declared by R154 nonrotation QA,LaTex/data/cosmology_r103/R103_TWO_SLOPE_BACKGROUND_DENSE_v1.csv,3001 source points; 161 rendered line points; 9 rendered markers,none; this is deterministic model/benchmark output,continuous line,USE_R154_DENSE_SOLVER_TRACE; RETAIN PUBLISHED NODES AS SEPARATE MARKERS,Level A background inside supplied action/state; Level C physical map,LaTex/work/preprint/R154_SMOOTH_CURVE_SEMANTICS_CANDIDATE_v1/nonrotation/R154_NONROTATION_SERIES_QA_v1.json:fig:r123_condensate_orbit:two-slope branch clock,DIRECT_R154_NUMERIC_QA,PASS_SUPPORTED_NO_UNKNOWN
fig:r123_condensate_orbit,conditional_post_ordering_dense_r154,two-slope expansion,dense_solver_owner,analytic/dense/sparse model series as declared by R154 nonrotation QA,LaTex/data/cosmology_r103/R103_TWO_SLOPE_BACKGROUND_DENSE_v1.csv,3001 source points; 161 rendered line points; 9 rendered markers,none; this is deterministic model/benchmark output,continuous line,USE_R154_DENSE_SOLVER_TRACE; RETAIN PUBLISHED NODES AS SEPARATE MARKERS,Level A background inside supplied action/state; Level C physical map,LaTex/work/preprint/R154_SMOOTH_CURVE_SEMANTICS_CANDIDATE_v1/nonrotation/R154_NONROTATION_SERIES_QA_v1.json:fig:r123_condensate_orbit:two-slope expansion,DIRECT_R154_NUMERIC_QA,PASS_SUPPORTED_NO_UNKNOWN
fig:r103_ect_acoustic_ppn_tradeoff,main,nine_parameter_rows,sparse_nodes_unconnected,conditional parameter scan,nine independently computed two-slope rows,declared figure domain; no extrapolation beyond the named owner,none unless stated in caption/owner,unconnected markers,USE R153 UNCONNECTED-NODE SUCCESSOR,No continuous parameter trajectory or interpolation.,LaTex/FIGURE_REGISTRY.csv:fig:r103_ect_acoustic_ppn_tradeoff | LaTex/ECT_preprint.tex:20890 | LaTex/work/preprint/R127_VISUAL_COSMOLOGY_PES_COMPLETION_CANDIDATE_v1/components/native_font_rerender_v1/build_r127_native_font_rerender.py;LaTex/work/preprint/R123_VISUAL_READABILITY_AND_RESTORATION_CANDIDATE_v1/components/clipping_remediation_v2/build_clipping_remediation_v2.py;LaTex/scripts/cosmology/make_r103_corrected_cosmology_figures.py;LaTex/scripts/r153_line_semantics/build_r153_line_semantics_successors.py | LaTex/work/preprint/R127_VISUAL_COSMOLOGY_PES_COMPLETION_CANDIDATE_v1/components/font_readability_remediation_v1/assets/r123__global__panels__fig10_a_acoustic_gate_r123__reader_scale_r127.pdf;LaTex/data/cosmology_r103/R103_TWO_SLOPE_CALIBRATED_SCAN_v1.json,REGISTRY_OWNER_CAPTION_AND_R153_SOURCE_AUDIT,PASS_SUPPORTED_NO_UNKNOWN
fig:r114_one_real_pole_cluster_scale_no_go,main,ballistic_scale_relation,exact_analytic_dense,restricted one-pole no-go relation,$\ell=v(2\pi/H_0)$,declared figure domain; no extrapolation beyond the named owner,none unless stated in caption/owner,dense analytic line,RETAIN R153 EXACT CURVE,Valid only under the stated single-pole and ballistic assumptions.,LaTex/FIGURE_REGISTRY.csv:fig:r114_one_real_pole_cluster_scale_no_go | LaTex/ECT_preprint.tex:21103 | LaTex/work/preprint/R149_READER_LAYOUT_CANDIDATE_v1/remaining_figure_typography/scripts/build_r149_remaining_typography.py;LaTex/scripts/r153_line_semantics/build_r153_line_semantics_successors.py | LaTex/data/cosmology_r113/R113_ONE_POLE_CLUSTER_NO_GO_v2.json,REGISTRY_OWNER_CAPTION_AND_R153_SOURCE_AUDIT,PASS_SUPPORTED_NO_UNKNOWN
fig:r114_one_real_pole_cluster_scale_no_go,main,frozen_velocity_nodes,sparse_nodes_unconnected,frozen diagnostic evaluations,three declared velocity rows,declared figure domain; no extrapolation beyond the named owner,none unless stated in caption/owner,separate markers,RETAIN SOURCE NODES SEPARATELY,Nodes do not own the continuous relation.,LaTex/FIGURE_REGISTRY.csv:fig:r114_one_real_pole_cluster_scale_no_go | LaTex/ECT_preprint.tex:21103 | LaTex/work/preprint/R149_READER_LAYOUT_CANDIDATE_v1/remaining_figure_typography/scripts/build_r149_remaining_typography.py;LaTex/scripts/r153_line_semantics/build_r153_line_semantics_successors.py | LaTex/data/cosmology_r113/R113_ONE_POLE_CLUSTER_NO_GO_v2.json,REGISTRY_OWNER_CAPTION_AND_R153_SOURCE_AUDIT,PASS_SUPPORTED_NO_UNKNOWN
